iter	Passed	Remaining
0	49	49006
1	49	24924
2	50	16809
3	51	12740
4	51	10338
5	52	8697
6	53	7534
7	54	6700
8	54	6010
9	55	5460
10	55	5016
11	56	4650
12	58	4418
13	59	4200
14	60	3974
15	61	3772
16	61	3580
17	62	3408
18	63	3254
19	63	3121
20	64	2997
21	64	2885
22	65	2782
23	66	2698
24	67	2614
25	67	2545
26	68	2468
27	69	2397
28	69	2329
29	70	2267
30	70	2209
31	71	2162
32	72	2112
33	72	2067
34	73	2039
35	74	2002
36	75	1964
37	76	1927
38	76	1893
39	77	1864
40	78	1831
41	78	1800
42	79	1771
43	80	1742
44	80	1715
45	81	1690
46	82	1666
47	82	1644
48	83	1621
49	84	1597
50	84	1574
51	85	1555
52	85	1534
53	86	1515
54	87	1500
55	88	1484
56	88	1467
57	89	1450
58	89	1435
59	90	1422
60	91	1406
61	91	1391
62	92	1376
63	93	1362
64	93	1349
65	94	1336
66	95	1323
67	95	1311
68	96	1299
69	96	1287
70	97	1274
71	98	1263
72	98	1252
73	99	1242
74	99	1231
75	100	1220
76	100	1209
77	101	1199
78	102	1189
79	103	1184
80	104	1183
81	105	1175
82	105	1163
83	105	1154
84	106	1145
85	107	1138
86	107	1129
87	108	1121
88	108	1114
89	110	1114
90	111	1108
91	111	1101
92	112	1093
93	112	1086
94	113	1079
95	113	1072
96	114	1066
97	115	1059
98	115	1053
99	116	1046
100	116	1040
101	118	1042
102	119	1037
103	119	1032
104	120	1030
105	121	1025
106	122	1021
107	123	1016
108	124	1014
109	125	1011
110	125	1006
111	126	1000
112	126	995
113	127	989
114	127	984
115	128	980
116	129	974
117	129	969
118	130	964
119	130	959
120	132	960
121	132	955
122	133	951
123	134	947
124	134	943
125	135	939
126	135	934
127	136	930
128	137	929
129	138	927
130	139	924
131	140	921
132	141	924
133	142	920
134	143	917
135	144	915
136	144	911
137	145	907
138	145	903
139	146	899
140	147	896
141	147	893
142	148	892
143	149	889
144	150	887
145	151	884
146	151	881
147	152	878
148	153	874
149	153	871
150	154	868
151	155	865
152	155	863
153	156	860
154	157	857
155	158	855
156	158	852
157	159	849
158	160	846
159	160	843
160	162	845
161	163	844
162	164	844
163	165	841
164	165	839
165	166	836
166	167	833
167	168	833
168	169	831
169	169	828
170	170	825
171	170	822
172	171	819
173	172	819
174	173	818
175	174	815
176	175	815
177	176	813
178	176	811
179	177	808
180	178	806
181	178	804
182	179	801
183	180	799
184	180	796
185	181	794
186	183	795
187	183	793
188	184	790
189	184	788
190	185	786
191	186	783
192	186	781
193	187	778
194	188	776
195	188	774
196	189	771
197	189	769
198	190	767
199	191	764
200	191	762
201	192	760
202	193	758
203	193	756
204	194	754
205	195	752
206	195	750
207	196	748
208	197	746
209	197	744
210	198	743
211	199	740
212	199	738
213	200	736
214	201	734
215	201	732
216	202	731
217	203	728
218	203	726
219	204	724
220	205	722
221	205	720
222	206	718
223	206	716
224	208	717
225	209	716
226	210	715
227	210	713
228	211	711
229	211	709
230	212	708
231	213	707
232	214	705
233	215	703
234	215	702
235	216	700
236	217	698
237	217	697
238	218	695
239	219	693
240	219	691
241	220	690
242	220	688
243	221	686
244	222	684
245	222	682
246	223	681
247	224	680
248	225	679
249	225	677
250	226	675
251	227	674
252	228	674
253	229	672
254	229	671
255	230	669
256	231	667
257	231	666
258	232	664
259	232	662
260	233	661
261	234	659
262	235	658
263	235	656
264	236	655
265	236	653
266	237	651
267	237	649
268	238	648
269	239	646
270	239	645
271	240	644
272	241	644
273	242	642
274	243	641
275	243	639
276	244	638
277	245	636
278	245	635
279	246	633
280	246	631
281	247	630
282	248	628
283	248	627
284	249	625
285	250	624
286	250	622
287	251	621
288	251	619
289	252	618
290	253	618
291	254	617
292	255	616
293	256	615
294	256	613
295	257	612
296	258	612
297	260	614
298	261	612
299	261	611
300	262	609
301	263	608
302	263	606
303	264	605
304	264	603
305	265	602
306	266	600
307	266	599
308	267	597
309	267	596
310	268	594
311	269	593
312	270	593
313	270	591
314	271	590
315	272	589
316	272	587
317	273	586
318	274	585
319	274	584
320	275	583
321	276	581
322	277	580
323	277	579
324	278	578
325	279	576
326	279	575
327	280	574
328	281	573
329	281	571
330	282	570
331	282	569
332	283	567
333	284	566
334	284	565
335	285	564
336	286	563
337	287	562
338	288	561
339	288	560
340	289	560
341	291	561
342	292	560
343	293	559
344	294	558
345	294	557
346	295	556
347	296	554
348	296	553
349	297	552
350	298	551
351	299	550
352	300	550
353	301	549
354	302	548
355	303	548
356	303	547
357	304	546
358	305	546
359	306	545
360	307	544
361	308	543
362	308	541
363	309	540
364	310	539
365	310	538
366	311	537
367	312	535
368	312	534
369	313	533
370	314	532
371	314	531
372	315	530
373	316	529
374	316	528
375	317	527
376	318	525
377	318	524
378	319	523
379	320	522
380	320	521
381	321	520
382	322	518
383	322	517
384	323	516
385	324	515
386	324	514
387	325	513
388	325	512
389	326	510
390	327	509
391	327	508
392	328	507
393	328	505
394	329	504
395	330	503
396	330	502
397	332	502
398	332	501
399	333	500
400	333	498
401	334	497
402	335	496
403	335	495
404	336	494
405	337	493
406	337	492
407	338	490
408	338	489
409	339	488
410	340	487
411	340	486
412	341	485
413	342	484
414	342	483
415	343	481
416	343	480
417	344	479
418	345	478
419	345	477
420	346	476
421	347	475
422	347	474
423	348	473
424	349	472
425	349	471
426	350	470
427	351	469
428	352	468
429	352	467
430	353	466
431	354	465
432	354	464
433	355	463
434	356	462
435	356	461
436	357	460
437	357	459
438	358	458
439	359	457
440	359	455
441	360	454
442	361	454
443	362	453
444	362	452
445	363	451
446	363	450
447	364	449
448	365	448
449	365	447
450	366	446
451	367	445
452	367	444
453	368	443
454	369	442
455	369	441
456	370	440
457	371	439
458	371	438
459	372	437
460	372	436
461	373	435
462	374	434
463	374	432
464	376	432
465	376	431
466	377	430
467	378	429
468	378	428
469	379	427
470	379	426
471	380	425
472	381	424
473	381	423
474	382	422
475	383	421
476	383	420
477	384	419
478	385	418
479	385	417
480	386	416
481	386	415
482	387	414
483	388	413
484	388	412
485	389	411
486	390	411
487	391	410
488	391	409
489	392	408
490	393	407
491	393	406
492	394	405
493	395	404
494	396	404
495	396	403
496	397	402
497	398	401
498	398	400
499	399	399
500	400	398
501	400	397
502	401	396
503	401	395
504	402	394
505	402	393
506	403	392
507	404	391
508	405	390
509	405	389
510	406	389
511	407	388
512	408	387
513	409	387
514	411	387
515	412	386
516	413	386
517	415	387
518	416	386
519	417	385
520	417	384
521	418	383
522	419	382
523	419	381
524	420	380
525	421	379
526	422	378
527	422	378
528	423	377
529	424	376
530	425	375
531	425	374
532	426	373
533	426	372
534	427	371
535	428	370
536	428	369
537	429	368
538	429	367
539	430	366
540	430	365
541	431	364
542	432	363
543	432	362
544	433	361
545	434	360
546	434	359
547	435	358
548	435	358
549	436	357
550	437	356
551	438	355
552	438	354
553	439	353
554	440	352
555	440	352
556	441	351
557	442	350
558	442	349
